value,mean,ci_lower,ci_upper
0.0,0.6166666746139526,0.21017144799232484,1.0231619012355804
0.1111111111111111,0.8167461156845093,0.4024773758649826,1.2310148555040359
0.2222222222222222,1.0699206590652466,0.654495000243187,1.485346317887306
0.3333333333333333,1.3647619485855103,0.9595610857009889,1.7699628114700316
0.4444444444444444,1.6338094472885132,1.2576299554109573,2.0099889391660692
0.5555555555555556,1.8899999856948853,1.5293915277719496,2.250608443617821
0.6666666666666666,2.3030953407287598,1.9613911706209182,2.6447995108366014
0.7777777777777777,2.5892858505249023,2.302492779493332,2.8760789215564726
0.8888888888888888,2.7273809909820557,2.5101047563552856,2.9446572256088257
1.0,2.7642858028411865,2.5831759041547775,2.9453957015275956
