value,mean,ci_lower,ci_upper
0.0,2.7455554008483887,2.5681360509991644,2.922974750697613
0.05555555555555555,3.7419841289520264,3.5257209286093714,3.9582473292946814
0.1111111111111111,3.9120635986328125,3.6674463322758672,4.156680864989758
0.16666666666666666,3.8454761505126953,3.5874469971656797,4.103505303859711
0.2222222222222222,3.807539463043213,3.5404707628488543,4.0746081632375715
0.2777777777777778,3.7634923458099365,3.4781219124794007,4.048862779140473
0.3333333333333333,3.672301769256592,3.3794614803791045,3.965142058134079
0.38888888888888884,3.6253178119659424,3.3221985787153243,3.9284370452165605
0.4444444444444444,3.516507863998413,3.211563034057617,3.821452693939209
0.5,3.5106348991394043,3.1912459009885787,3.83002389729023
