value,mean,ci_lower,ci_upper
0,3.0646824836730957,2.899246731698513,3.2301182356476783
4,2.981745958328247,2.822255289852619,3.141236626803875
8,2.889047861099243,2.727242493033409,3.050853229165077
12,2.7324604988098145,2.576250542104244,2.888670455515385
16,2.6193649768829346,2.472416301071644,2.766313652694225
20,2.535555839538574,2.388910500109196,2.6822011789679525
24,2.4361114501953125,2.2914431273937224,2.5807797729969026
28,2.3711113929748535,2.228433244228363,2.513789541721344
32,2.269047737121582,2.1363668820261954,2.4017285922169687
