value,mean,ci_lower,ci_upper
0.01,3.0493650436401367,2.844975961446762,3.2537541258335114
0.45333333333333337,3.010793924331665,2.81106087744236,3.21052697122097
0.8966666666666667,3.057142972946167,2.857571480572224,3.25671446532011
1.34,3.0199997425079346,2.8207888892292976,3.2192105957865715
1.7833333333333334,2.9955554008483887,2.7944126692414284,3.196698132455349
2.2266666666666666,3.007936716079712,2.799025261104107,3.2168481710553167
2.67,3.0214285850524902,2.816754741668701,3.2261024284362794
3.1133333333333333,3.0353972911834717,2.8290074184536933,3.24178716391325
3.5566666666666666,3.010793685913086,2.813754757344723,3.207832614481449
4.0,3.0390477180480957,2.838162001669407,3.2399334344267845
