value,mean,ci_lower,ci_upper
0.0,3.2261905670166016,3.0060509490966796,3.4463301849365235
0.3333333333333333,3.155317783355713,2.9398396039009094,3.3707959628105164
0.6666666666666666,3.13452410697937,2.9283226001262666,3.3407256138324737
1.0,3.0268256664276123,2.826804265975952,3.2268470668792726
1.3333333333333333,2.8949997425079346,2.702674078941345,3.087325406074524
1.6666666666666665,2.7646825313568115,2.577961990237236,2.951403072476387
2.0,2.5978572368621826,2.4304163572192192,2.765298116505146
2.333333333333333,2.4032537937164307,2.2466091454029082,2.559898442029953
2.6666666666666665,2.17634916305542,2.0354450765252112,2.3172532495856286
3.0,1.9926191568374634,1.8488758552074431,2.1363624584674836
