value,mean,ci_lower,ci_upper
0.0,3.28928542137146,3.0888898739218713,3.4896809688210486
0.05555555555555555,7.635317325592041,7.2085818284749985,8.062052822709084
0.1111111111111111,9.847699165344238,9.387015052437782,10.308383278250695
0.16666666666666666,10.814682006835938,10.392021690607072,11.237342323064803
0.2222222222222222,11.356428146362305,10.961289634108544,11.751566658616065
0.2777777777777778,11.688095092773438,11.325765830278396,12.050424355268479
0.3333333333333333,11.898174285888672,11.549539670944213,12.24680890083313
0.38888888888888884,12.112619400024414,11.777730835676193,12.447507964372635
0.4444444444444444,12.127062797546387,11.800969995260239,12.453155599832535
0.5,12.280714988708496,11.953644623160363,12.60778535425663
