value,position,phase,recall_prob
0.2,1,film,0.3206349313259125
0.2,2,film,0.25333333015441895
0.2,3,film,0.22698412835597992
0.2,4,film,0.2003968209028244
0.2,5,film,0.19801586866378784
0.2,6,film,0.18634921312332153
0.2,7,film,0.18468253314495087
0.2,8,film,0.1847619116306305
0.2,9,film,0.18642857670783997
0.2,10,film,0.1865079402923584
0.2,11,film,0.19134920835494995
0.2,12,film,0.18793651461601257
0.2,13,film,0.19388888776302338
0.2,14,film,0.19111111760139465
0.2,15,film,0.1942063421010971
0.2,16,film,0.18261905014514923
0.2,17,interference,0.16896826028823853
0.2,18,interference,0.1626984179019928
0.2,19,interference,0.1582539677619934
0.2,20,interference,0.15246032178401947
0.2,21,interference,0.1530158668756485
0.2,22,interference,0.14865079522132874
0.2,23,interference,0.15111111104488373
0.2,24,interference,0.14698413014411926
0.2,25,interference,0.15246032178401947
0.2,26,interference,0.15015873312950134
0.2,27,interference,0.1503174602985382
0.2,28,interference,0.1560317426919937
0.2,29,interference,0.1500793695449829
0.2,30,interference,0.15269841253757477
0.2,31,interference,0.1545238047838211
0.2,32,interference,0.1503174602985382
0.35555555555555557,1,film,0.31976190209388733
0.35555555555555557,2,film,0.24857142567634583
0.35555555555555557,3,film,0.22134920954704285
0.35555555555555557,4,film,0.20746031403541565
0.35555555555555557,5,film,0.19499999284744263
0.35555555555555557,6,film,0.19825397431850433
0.35555555555555557,7,film,0.18984127044677734
0.35555555555555557,8,film,0.18134920299053192
0.35555555555555557,9,film,0.17928571999073029
0.35555555555555557,10,film,0.18166667222976685
0.35555555555555557,11,film,0.17912697792053223
0.35555555555555557,12,film,0.1854761838912964
0.35555555555555557,13,film,0.18722222745418549
0.35555555555555557,14,film,0.18936507403850555
0.35555555555555557,15,film,0.18325397372245789
0.35555555555555557,16,film,0.18333333730697632
0.35555555555555557,17,interference,0.17134921252727509
0.35555555555555557,18,interference,0.1629365086555481
0.35555555555555557,19,interference,0.16333332657814026
0.35555555555555557,20,interference,0.1565079391002655
0.35555555555555557,21,interference,0.15880952775478363
0.35555555555555557,22,interference,0.15817460417747498
0.35555555555555557,23,interference,0.1644444465637207
0.35555555555555557,24,interference,0.1520634889602661
0.35555555555555557,25,interference,0.15563492476940155
0.35555555555555557,26,interference,0.16015872359275818
0.35555555555555557,27,interference,0.15753968060016632
0.35555555555555557,28,interference,0.16158729791641235
0.35555555555555557,29,interference,0.16015872359275818
0.35555555555555557,30,interference,0.15817460417747498
0.35555555555555557,31,interference,0.1580158770084381
0.35555555555555557,32,interference,0.15587301552295685
0.5111111111111111,1,film,0.3142063617706299
0.5111111111111111,2,film,0.2515079379081726
0.5111111111111111,3,film,0.23253968358039856
0.5111111111111111,4,film,0.21317459642887115
0.5111111111111111,5,film,0.19928571581840515
0.5111111111111111,6,film,0.19976189732551575
0.5111111111111111,7,film,0.19873015582561493
0.5111111111111111,8,film,0.18793651461601257
0.5111111111111111,9,film,0.18992063403129578
0.5111111111111111,10,film,0.18539682030677795
0.5111111111111111,11,film,0.18531745672225952
0.5111111111111111,12,film,0.18682539463043213
0.5111111111111111,13,film,0.18388888239860535
0.5111111111111111,14,film,0.18595238029956818
0.5111111111111111,15,film,0.1827777773141861
0.5111111111111111,16,film,0.18658730387687683
0.5111111111111111,17,interference,0.1735714226961136
0.5111111111111111,18,interference,0.16738095879554749
0.5111111111111111,19,interference,0.15992063283920288
0.5111111111111111,20,interference,0.16682539880275726
0.5111111111111111,21,interference,0.16682539880275726
0.5111111111111111,22,interference,0.16230158507823944
0.5111111111111111,23,interference,0.15904761850833893
0.5111111111111111,24,interference,0.16682539880275726
0.5111111111111111,25,interference,0.15960317850112915
0.5111111111111111,26,interference,0.1611904799938202
0.5111111111111111,27,interference,0.16015872359275818
0.5111111111111111,28,interference,0.1631745994091034
0.5111111111111111,29,interference,0.15833333134651184
