value,mean,ci_lower,ci_upper
0,3.203650712966919,3.0257949191331863,3.3815065068006516
4,3.043412685394287,2.866176780164242,3.2206485906243323
8,2.961905002593994,2.7820439350605013,3.141766070127487
12,2.8107144832611084,2.6344073376059534,2.9870216289162634
16,2.7108731269836426,2.5368140321969985,2.8849322217702866
20,2.638730049133301,2.4608192160725593,2.8166408821940423
24,2.5537304878234863,2.3752610409259796,2.732199934720993
28,2.4734127521514893,2.2950707322359083,2.65175477206707
32,2.373809576034546,2.2050921192765234,2.5425270327925684
