value,mean,ci_lower,ci_upper
0.0,0.029444444924592972,-0.0031237763911485666,0.06201266624033451
0.1111111111111111,0.03753967955708504,0.00038848243653774595,0.07469087667763233
0.2222222222222222,0.05595238506793976,0.006443081647157671,0.10546168848872184
0.3333333333333333,0.0729365199804306,0.015530387163162233,0.13034265279769897
0.4444444444444444,0.09603174775838852,0.034292425811290744,0.1577710697054863
0.5555555555555556,0.14380952715873718,0.06576810166239738,0.22185095265507698
0.6666666666666666,0.21936509013175964,0.1147933991253376,0.3239367811381817
0.7777777777777777,0.34865081310272217,0.2042207697033882,0.49308085650205613
0.8888888888888888,0.6118254065513611,0.425413458943367,0.7982373541593552
1.0,3.2932541370391846,3.0931116327643395,3.4933966413140296
